City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,28.18,71,57,3.27,MV,2023-04-13 23:00:09
1,Ferme-Neuve,46.7001,-75.4493,12.4,91,84,3.44,CA,2023-04-13 23:00:09
2,Santo Domingo,18.5001,-69.9886,28.82,80,20,4.12,DO,2023-04-13 22:51:49
3,Butaritari,3.0707,172.7902,27.46,79,39,5.3,KI,2023-04-13 23:00:10
4,Mataura,-46.1927,168.8643,15.8,68,25,3.76,NZ,2023-04-13 23:00:10
5,Fairbanks,64.8378,-147.7164,-5.51,60,40,2.57,US,2023-04-13 22:55:47
6,Punta Arenas,-53.15,-70.9167,5.06,70,0,2.06,CL,2023-04-13 22:56:16
7,Upernavik,72.7868,-56.1549,-10.87,92,100,2.55,GL,2023-04-13 23:00:29
8,Chokurdakh,70.6333,147.9167,-12.92,89,100,3.4,RU,2023-04-13 23:00:36
9,Jamestown,42.097,-79.2353,24.8,33,0,5.14,US,2023-04-13 23:00:11
10,San Patricio,28.017,-97.5169,26.21,46,43,6.61,US,2023-04-13 23:00:44
11,Provideniya,64.3833,-173.3,-11.94,52,0,3.13,RU,2023-04-13 23:00:45
12,Lavrentiya,65.5833,-171.0,-15.63,81,17,4.65,RU,2023-04-13 23:00:46
13,Lima,-12.0432,-77.0282,27.17,67,75,5.14,PE,2023-04-13 22:59:15
14,Ushuaia,-54.8,-68.3,5.81,75,0,1.03,AR,2023-04-13 23:00:47
15,Fortuna,40.5982,-124.1573,13.29,67,46,1.79,US,2023-04-13 23:00:47
16,Busselton,-33.65,115.3333,14.19,62,76,11.0,AU,2023-04-13 23:00:47
17,Touros,-5.1989,-35.4608,27.96,77,92,7.49,BR,2023-04-13 23:00:48
18,Kapaa,22.0752,-159.319,25.99,83,100,8.23,US,2023-04-13 23:00:49
19,Bluff,-46.6,168.3333,14.37,73,0,5.46,NZ,2023-04-13 23:00:49
20,Ledyard,41.4398,-72.0142,25.1,46,0,3.09,US,2023-04-13 23:00:49
21,Bredasdorp,-34.5322,20.0403,15.17,82,35,6.31,ZA,2023-04-13 23:00:50
22,Sioux Lookout,50.1001,-91.917,7.04,61,100,2.57,CA,2023-04-13 23:00:36
23,Egvekinot,66.3167,-179.1667,-17.84,84,21,3.78,RU,2023-04-13 23:00:51
24,Divinopolis,-20.1389,-44.8839,21.21,82,99,1.76,BR,2023-04-13 23:00:51
25,Mar Del Plata,-38.0023,-57.5575,12.83,74,40,7.2,AR,2023-04-13 22:59:29
26,Albany,42.6001,-73.9662,22.55,62,3,3.64,US,2023-04-13 23:00:51
27,Buin,-33.7333,-70.75,22.46,47,8,2.68,CL,2023-04-13 23:00:52
28,Kahului,20.8947,-156.47,26.02,73,100,4.47,US,2023-04-13 23:00:52
29,Mailsi,29.8003,72.1758,27.59,19,0,3.81,PK,2023-04-13 23:00:53
30,Avarua,-21.2078,-159.775,28.03,61,71,3.6,CK,2023-04-13 23:00:53
31,Avera,33.194,-82.5271,18.28,89,100,5.94,US,2023-04-13 23:00:54
32,Cape Town,-33.9258,18.4232,18.54,71,40,4.63,ZA,2023-04-13 22:58:36
33,Gorgan,36.8387,54.4348,11.98,88,0,5.14,IR,2023-04-13 23:00:54
34,Apatou,5.155,-54.3472,23.59,95,98,1.62,GF,2023-04-13 23:00:54
35,Antofagasta,-23.65,-70.4,19.6,82,34,3.0,CL,2023-04-13 22:52:19
36,Tuktoyaktuk,69.4541,-133.0374,-19.0,71,75,3.6,CA,2023-04-13 23:00:55
37,Port Alfred,-33.5906,26.891,14.54,84,22,1.79,ZA,2023-04-13 23:00:55
38,Flinders,-34.5833,150.8552,18.43,87,47,2.68,AU,2023-04-13 23:00:55
39,East London,-33.0153,27.9116,16.9,68,89,3.73,ZA,2023-04-13 23:00:41
